Date_User,Latitude_User,Longitude_User,AccelerometerX_User,AccelerometerY_User,AccelerometerZ_User
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.118790,-0.721664,-0.881256
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.160919,-0.793823,-0.843155
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.135300,-0.722748,-0.856354
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.110657,-0.681671,-0.834015
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.098663,-0.675705,-0.799118
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.095657,-0.665588,-0.802490
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.068558,-0.658859,-0.802017
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.058212,-0.653641,-0.808365
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.079498,-0.657898,-0.832687
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.082123,-0.679733,-0.855591
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.079880,-0.670029,-0.888428
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.060913,-0.640640,-0.855698
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.039856,-0.620773,-0.784622
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.040146,-0.611511,-0.785110
